state,date,cases
Massachusetts,2020-02-06,1
Massachusetts,2020-02-07,1
Massachusetts,2020-02-08,1
Washington,2020-02-20,1
Washington,2020-02-19,1
Washington,2020-02-18,1
Washington,2020-02-17,1
Kansas,2020-03-11,1
Kansas,2020-03-10,1
Washington,2020-02-13,1
Washington,2020-02-12,1
Kansas,2020-03-09,1
Kansas,2020-03-08,1
Kansas,2020-03-07,1
Kentucky,2020-03-06,1
Kentucky,2020-03-07,1
Washington,2020-02-11,1
Arizona,2020-01-26,1
Massachusetts,2020-02-09,1
Arizona,2020-01-27,1
Arizona,2020-01-29,1
Idaho,2020-03-13,1
Washington,2020-02-14,1
Louisiana,2020-03-09,1
Washington,2020-02-15,1
Arizona,2020-02-13,1
Washington,2020-02-16,1
Arizona,2020-01-30,1
Maine,2020-03-12,1
Indiana,2020-03-07,1
Indiana,2020-03-06,1
Arizona,2020-01-28,1
Massachusetts,2020-02-10,1
Massachusetts,2020-02-01,1
Massachusetts,2020-02-20,1
Massachusetts,2020-02-24,1
Massachusetts,2020-02-23,1
Massachusetts,2020-02-27,1
Arizona,2020-02-10,1
Massachusetts,2020-02-22,1
Massachusetts,2020-02-21,1
Massachusetts,2020-02-28,1
Massachusetts,2020-02-29,1
Illinois,2020-01-29,1
Minnesota,2020-03-06,1
Massachusetts,2020-02-19,1
Massachusetts,2020-02-25,1
Minnesota,2020-03-07,1
Illinois,2020-01-28,1
Massachusetts,2020-03-01,1
Illinois,2020-01-26,1
Massachusetts,2020-02-11,1
Massachusetts,2020-02-12,1
Massachusetts,2020-02-13,1
Mississippi,2020-03-11,1
Illinois,2020-01-27,1
Massachusetts,2020-02-14,1
Massachusetts,2020-02-26,1
Massachusetts,2020-02-16,1
Massachusetts,2020-02-17,1
Arizona,2020-02-12,1
Massachusetts,2020-02-18,1
Arizona,2020-02-11,1
Massachusetts,2020-02-15,1
Texas,2020-02-20,2
Illinois,2020-01-31,2
Illinois,2020-02-02,2
Illinois,2020-02-03,2
Illinois,2020-02-01,2
Illinois,2020-02-23,2
Texas,2020-02-18,2
Texas,2020-02-17,2
Texas,2020-02-16,2
Illinois,2020-01-30,2
Illinois,2020-02-04,2
Texas,2020-02-15,2
Texas,2020-02-14,2
Texas,2020-02-13,2
Colorado,2020-03-05,2
Texas,2020-02-19,2
Illinois,2020-02-05,2
Illinois,2020-02-12,2
Illinois,2020-02-07,2
Illinois,2020-02-21,2
Illinois,2020-02-20,2
South Carolina,2020-03-07,2
Illinois,2020-02-24,2
Illinois,2020-02-25,2
Illinois,2020-02-26,2
Illinois,2020-02-27,2
Illinois,2020-02-19,2
Illinois,2020-02-18,2
Illinois,2020-02-17,2
Illinois,2020-02-16,2
Illinois,2020-02-15,2
Illinois,2020-02-14,2
Wisconsin,2020-03-09,2
Illinois,2020-02-28,2
Vermont,2020-03-11,2
Vermont,2020-03-12,2
Vermont,2020-03-13,2
Illinois,2020-02-13,2
Illinois,2020-02-22,2
Illinois,2020-02-11,2
Illinois,2020-02-10,2
Indiana,2020-03-08,2
Illinois,2020-02-09,2
Illinois,2020-02-08,2
Illinois,2020-02-06,2
South Carolina,2020-03-06,2
Connecticut,2020-03-10,2
California,2020-01-29,2
New Hampshire,2020-03-06,2
Arizona,2020-03-04,2
Florida,2020-03-02,2
Florida,2020-03-01,2
New Jersey,2020-03-05,2
Arizona,2020-03-05,2
New Hampshire,2020-03-05,2
New York,2020-03-03,2
North Carolina,2020-03-07,2
North Carolina,2020-03-08,2
Northern Mariana Islands,2020-03-28,2
Northern Mariana Islands,2020-03-29,2
Northern Mariana Islands,2020-03-30,2
Northern Mariana Islands,2020-03-31,2
North Carolina,2020-03-06,2
Hawaii,2020-03-08,2
New Hampshire,2020-03-04,2
Massachusetts,2020-03-02,2
Minnesota,2020-03-09,2
Minnesota,2020-03-08,2
Missouri,2020-03-12,2
Michigan,2020-03-11,2
Michigan,2020-03-10,2
Massachusetts,2020-03-04,2
New Hampshire,2020-03-03,2
Massachusetts,2020-03-03,2
Georgia,2020-03-04,2
Georgia,2020-03-03,2
Georgia,2020-03-02,2
Nevada,2020-03-05,2
Nevada,2020-03-06,2
Nevada,2020-03-07,2
Georgia,2020-03-05,2
California,2020-01-30,2
Hawaii,2020-03-09,2
Hawaii,2020-03-11,2
California,2020-01-28,2
California,2020-01-27,2
California,2020-01-26,2
Rhode Island,2020-03-05,2
Rhode Island,2020-03-04,2
Rhode Island,2020-03-03,2
Rhode Island,2020-03-02,2
Rhode Island,2020-03-01,2
Wyoming,2020-03-13,2
Virgin Islands,2020-03-16,2
Virgin Islands,2020-03-17,2
Hawaii,2020-03-10,2
Pennsylvania,2020-03-06,2
Connecticut,2020-03-09,2
Virginia,2020-03-08,2
Oregon,2020-03-06,2
Hawaii,2020-03-12,2
Oklahoma,2020-03-10,2
Oklahoma,2020-03-11,2
Oklahoma,2020-03-12,2
Hawaii,2020-03-13,2
West Virginia,2020-03-18,2
Oregon,2020-03-01,2
Maine,2020-03-13,2
Oregon,2020-03-03,2
Oregon,2020-03-04,2
Oregon,2020-03-05,2
Oregon,2020-03-02,2
Arizona,2020-03-03,2
Arizona,2020-03-06,3
Alaska,2020-03-16,3
Virgin Islands,2020-03-18,3
Virgin Islands,2020-03-19,3
California,2020-02-01,3
California,2020-01-31,3
Connecticut,2020-03-11,3
Guam,2020-03-16,3
Rhode Island,2020-03-09,3
Rhode Island,2020-03-08,3
Rhode Island,2020-03-07,3
Rhode Island,2020-03-06,3
Wyoming,2020-03-14,3
Wyoming,2020-03-15,3
Massachusetts,2020-03-05,3
Maine,2020-03-14,3
Guam,2020-03-17,3
Ohio,2020-03-09,3
Ohio,2020-03-10,3
Guam,2020-03-15,3
Puerto Rico,2020-03-13,3
Maryland,2020-03-05,3
Maryland,2020-03-06,3
Maryland,2020-03-07,3
Iowa,2020-03-08,3
Minnesota,2020-03-10,3
Oklahoma,2020-03-13,3
Wisconsin,2020-03-10,3
Utah,2020-03-09,3
Illinois,2020-03-01,3
Utah,2020-03-08,3
Utah,2020-03-07,3
Tennessee,2020-03-08,3
Florida,2020-03-03,3
Florida,2020-03-04,3
Utah,2020-03-06,3
Illinois,2020-02-29,3
Georgia,2020-03-06,3
Ohio,2020-03-11,4
New Hampshire,2020-03-09,4
Delaware,2020-03-12,4
Nevada,2020-03-10,4
Montana,2020-03-13,4
Delaware,2020-03-14,4
District of Columbia,2020-03-09,4
Nevada,2020-03-08,4
Florida,2020-03-05,4
New Jersey,2020-03-06,4
District of Columbia,2020-03-10,4
New Jersey,2020-03-07,4
New Mexico,2020-03-11,4
Missouri,2020-03-13,4
Delaware,2020-03-13,4
Nevada,2020-03-09,4
Utah,2020-03-10,4
New Hampshire,2020-03-07,4
Illinois,2020-03-04,4
Oklahoma,2020-03-14,4
Tennessee,2020-03-09,4
Indiana,2020-03-09,4
Texas,2020-02-21,4
Texas,2020-02-22,4
Illinois,2020-03-03,4
Kentucky,2020-03-08,4
Hawaii,2020-03-14,4
New Hampshire,2020-03-08,4
Puerto Rico,2020-03-14,4
Pennsylvania,2020-03-07,4
Texas,2020-02-23,4
Illinois,2020-03-02,4
Washington,2020-02-25,5
Washington,2020-02-26,5
Washington,2020-02-27,5
Washington,2020-02-24,5
Maryland,2020-03-08,5
Illinois,2020-03-05,5
Minnesota,2020-03-11,5
Kansas,2020-03-12,5
Kentucky,2020-03-09,5
Idaho,2020-03-16,5
Idaho,2020-03-15,5
Idaho,2020-03-14,5
Missouri,2020-03-15,5
Missouri,2020-03-14,5
West Virginia,2020-03-19,5
New Hampshire,2020-03-11,5
Puerto Rico,2020-03-18,5
Puerto Rico,2020-03-17,5
Rhode Island,2020-03-11,5
New Hampshire,2020-03-10,5
Rhode Island,2020-03-12,5
Puerto Rico,2020-03-16,5
Puerto Rico,2020-03-15,5
Virginia,2020-03-09,5
Ohio,2020-03-12,5
North Dakota,2020-03-17,5
South Dakota,2020-03-10,5
Rhode Island,2020-03-10,5
Vermont,2020-03-14,5
Arizona,2020-03-07,5
Arizona,2020-03-08,5
Utah,2020-03-11,5
California,2020-02-09,6
California,2020-02-08,6
Indiana,2020-03-10,6
California,2020-02-04,6
California,2020-02-06,6
South Carolina,2020-03-08,6
Illinois,2020-03-07,6
Illinois,2020-03-06,6
California,2020-02-05,6
Kansas,2020-03-13,6
California,2020-02-02,6
California,2020-02-03,6
California,2020-02-07,6
Louisiana,2020-03-10,6
Virgin Islands,2020-03-20,6
New Hampshire,2020-03-12,6
Montana,2020-03-15,6
Montana,2020-03-14,6
Arizona,2020-03-10,6
New Jersey,2020-03-08,6
Mississippi,2020-03-14,6
Mississippi,2020-03-13,6
New Mexico,2020-03-12,6
Northern Mariana Islands,2020-04-01,6
Maryland,2020-03-09,6
Oregon,2020-03-07,6
Connecticut,2020-03-12,6
Pennsylvania,2020-03-08,6
Arkansas,2020-03-12,6
Virgin Islands,2020-03-21,6
Puerto Rico,2020-03-19,6
Arizona,2020-03-09,6
Alabama,2020-03-13,6
Alaska,2020-03-17,6
Wisconsin,2020-03-11,6
California,2020-02-11,7
California,2020-02-12,7
California,2020-02-13,7
California,2020-02-14,7
California,2020-02-15,7
California,2020-02-16,7
California,2020-02-17,7
Utah,2020-03-13,7
California,2020-02-19,7
Kentucky,2020-03-10,7
Kentucky,2020-03-11,7
California,2020-02-18,7
North Carolina,2020-03-10,7
North Carolina,2020-03-09,7
Florida,2020-03-06,7
Arkansas,2020-03-13,7
Washington,2020-02-28,7
Tennessee,2020-03-10,7
New Hampshire,2020-03-14,7
New Hampshire,2020-03-13,7
Hawaii,2020-03-15,7
Nevada,2020-03-11,7
California,2020-02-10,7
North Dakota,2020-03-18,7
Utah,2020-03-12,7
Illinois,2020-03-08,7
Delaware,2020-03-15,7
Georgia,2020-03-07,7
South Carolina,2020-03-09,7
Iowa,2020-03-09,8
Massachusetts,2020-03-06,8
California,2020-02-20,8
Wisconsin,2020-03-12,8
North Carolina,2020-03-11,8
Delaware,2020-03-16,8
South Dakota,2020-03-11,8
South Dakota,2020-03-12,8
Montana,2020-03-16,8
Guam,2020-03-18,8
Vermont,2020-03-15,8
Tennessee,2020-03-11,8
Colorado,2020-03-06,8
Colorado,2020-03-08,8
Colorado,2020-03-07,8
Northern Mariana Islands,2020-04-07,8
Northern Mariana Islands,2020-04-06,8
Northern Mariana Islands,2020-04-05,8
Northern Mariana Islands,2020-04-04,8
Northern Mariana Islands,2020-04-03,8
Kansas,2020-03-14,8
Northern Mariana Islands,2020-04-02,8
Oklahoma,2020-03-15,8
Virginia,2020-03-10,8
West Virginia,2020-03-20,8
Montana,2020-03-17,8
Maryland,2020-03-10,9
Arkansas,2020-03-14,9
South Dakota,2020-03-13,9
South Dakota,2020-03-14,9
South Dakota,2020-03-15,9
Arizona,2020-03-11,9
Idaho,2020-03-17,9
South Carolina,2020-03-10,9
Arizona,2020-03-12,9
Arizona,2020-03-13,9
California,2020-02-23,9
Kansas,2020-03-15,9
California,2020-02-22,9
California,2020-02-21,9
Minnesota,2020-03-12,9
Alaska,2020-03-18,9
Missouri,2020-03-16,9
District of Columbia,2020-03-12,10
South Carolina,2020-03-11,10
Washington,2020-02-29,10
District of Columbia,2020-03-13,10
South Dakota,2020-03-16,10
Oklahoma,2020-03-16,10
Wyoming,2020-03-16,10
Virginia,2020-03-11,10
Texas,2020-02-25,10
Texas,2020-02-24,10
Texas,2020-02-27,10
Mississippi,2020-03-15,10
Hawaii,2020-03-16,10
New Mexico,2020-03-13,10
District of Columbia,2020-03-11,10
Nebraska,2020-02-18,10
Pennsylvania,2020-03-09,10
Nebraska,2020-02-17,10
Nebraska,2020-02-19,10
Texas,2020-02-26,10
Georgia,2020-03-08,11
Nebraska,2020-02-23,11
Texas,2020-03-02,11
Nebraska,2020-02-20,11
Texas,2020-02-28,11
Texas,2020-03-03,11
Nebraska,2020-02-21,11
Connecticut,2020-03-13,11
Nebraska,2020-02-22,11
New Jersey,2020-03-09,11
Texas,2020-03-01,11
Nevada,2020-03-12,11
California,2020-02-24,11
California,2020-02-25,11
Kentucky,2020-03-12,11
Kansas,2020-03-16,11
Northern Mariana Islands,2020-04-08,11
Northern Mariana Islands,2020-04-09,11
Northern Mariana Islands,2020-04-10,11
Northern Mariana Islands,2020-04-11,11
Northern Mariana Islands,2020-04-12,11
Idaho,2020-03-18,11
Texas,2020-02-29,11
Kentucky,2020-03-13,11
Northern Mariana Islands,2020-04-13,11
Indiana,2020-03-11,11
Illinois,2020-03-09,11
South Dakota,2020-03-17,11
South Dakota,2020-03-18,11
New York,2020-03-04,11
Indiana,2020-03-13,12
West Virginia,2020-03-21,12
Indiana,2020-03-12,12
Texas,2020-03-04,12
Alaska,2020-03-19,12
South Carolina,2020-03-12,12
Alabama,2020-03-14,12
Montana,2020-03-18,12
Mississippi,2020-03-16,12
Pennsylvania,2020-03-10,12
Maine,2020-03-15,12
Michigan,2020-03-12,12
Nebraska,2020-02-24,12
Arizona,2020-03-14,12
Vermont,2020-03-16,12
Guam,2020-03-19,12
Colorado,2020-03-09,12
Florida,2020-03-07,12
New Hampshire,2020-03-15,13
Florida,2020-03-08,13
South Carolina,2020-03-13,13
Northern Mariana Islands,2020-04-16,13
Northern Mariana Islands,2020-04-15,13
Northern Mariana Islands,2020-04-14,13
Arizona,2020-03-15,13
Nebraska,2020-03-02,13
Nebraska,2020-03-01,13
Nebraska,2020-02-29,13
Nebraska,2020-02-28,13
New Mexico,2020-03-14,13
Nebraska,2020-02-27,13
Nebraska,2020-02-26,13
Nebraska,2020-02-25,13
Nebraska,2020-03-04,13
Nebraska,2020-03-03,13
Nebraska,2020-03-05,13
Louisiana,2020-03-11,13
Massachusetts,2020-03-07,13
Oregon,2020-03-09,13
Maryland,2020-03-11,13
Oregon,2020-03-08,13
Maryland,2020-03-12,13
Ohio,2020-03-13,13
Iowa,2020-03-10,13
Vermont,2020-03-17,14
Northern Mariana Islands,2020-04-26,14
Northern Mariana Islands,2020-04-25,14
Northern Mariana Islands,2020-04-24,14
Northern Mariana Islands,2020-04-23,14
Northern Mariana Islands,2020-04-22,14
Northern Mariana Islands,2020-04-21,14
Northern Mariana Islands,2020-04-20,14
Northern Mariana Islands,2020-04-19,14
Northern Mariana Islands,2020-04-18,14
Iowa,2020-03-11,14
Guam,2020-03-20,14
Northern Mariana Islands,2020-04-17,14
Nebraska,2020-03-06,14
Nebraska,2020-03-07,14
Alaska,2020-03-20,14
Northern Mariana Islands,2020-04-27,14
South Dakota,2020-03-19,14
Northern Mariana Islands,2020-04-28,14
Oregon,2020-03-10,14
Minnesota,2020-03-13,14
Florida,2020-03-09,14
Louisiana,2020-03-12,14
Northern Mariana Islands,2020-05-05,14
South Dakota,2020-03-21,14
Puerto Rico,2020-03-20,14
Northern Mariana Islands,2020-05-03,14
Northern Mariana Islands,2020-05-02,14
Hawaii,2020-03-17,14
Northern Mariana Islands,2020-05-01,14
Northern Mariana Islands,2020-04-30,14
Northern Mariana Islands,2020-04-29,14
Northern Mariana Islands,2020-05-04,14
South Dakota,2020-03-20,14
Guam,2020-03-21,15
Indiana,2020-03-14,15
Wyoming,2020-03-17,15
Northern Mariana Islands,2020-05-08,15
New Jersey,2020-03-10,15
Northern Mariana Islands,2020-05-07,15
Northern Mariana Islands,2020-05-06,15
Arkansas,2020-03-15,16
North Carolina,2020-03-12,16
Hawaii,2020-03-18,16
District of Columbia,2020-03-14,16
Nebraska,2020-03-08,16
Pennsylvania,2020-03-11,16
Northern Mariana Islands,2020-05-10,16
Northern Mariana Islands,2020-05-09,16
Delaware,2020-03-17,16
Missouri,2020-03-17,16
Texas,2020-03-05,16
West Virginia,2020-03-23,16
West Virginia,2020-03-22,16
Nebraska,2020-03-09,16
Iowa,2020-03-12,16
New Hampshire,2020-03-16,17
Virginia,2020-03-12,17
Maine,2020-03-16,17
Wyoming,2020-03-18,17
Virgin Islands,2020-03-22,17
Georgia,2020-03-09,17
Iowa,2020-03-13,17
Virgin Islands,2020-03-23,17
Colorado,2020-03-10,17
Virgin Islands,2020-03-24,17
Virgin Islands,2020-03-25,17
Virgin Islands,2020-03-26,17
Washington,2020-03-01,17
District of Columbia,2020-03-15,17
Nebraska,2020-03-10,17
Kansas,2020-03-17,17
New Mexico,2020-03-15,17
Oklahoma,2020-03-17,18
North Carolina,2020-03-13,18
Kentucky,2020-03-14,18
Iowa,2020-03-14,18
Wyoming,2020-03-19,18
Arizona,2020-03-16,18
Tennessee,2020-03-12,18
Maryland,2020-03-13,18
South Carolina,2020-03-14,19
North Dakota,2020-03-19,19
Montana,2020-03-19,19
Montana,2020-03-20,19
Northern Mariana Islands,2020-05-11,19
Northern Mariana Islands,2020-05-12,19
Northern Mariana Islands,2020-05-13,19
Northern Mariana Islands,2020-05-14,19
Texas,2020-03-06,19
Nevada,2020-03-13,19
Texas,2020-03-07,19
Northern Mariana Islands,2020-05-15,19
Virgin Islands,2020-03-27,19
Illinois,2020-03-10,19
Indiana,2020-03-15,19
Vermont,2020-03-18,19
Wisconsin,2020-03-13,19
Virgin Islands,2020-03-28,19
Rhode Island,2020-03-15,20
Rhode Island,2020-03-14,20
Rhode Island,2020-03-13,20
Arizona,2020-03-17,20
Oregon,2020-03-11,20
Connecticut,2020-03-14,20
Alaska,2020-03-21,21
Minnesota,2020-03-14,21
Rhode Island,2020-03-16,21
Mississippi,2020-03-17,21
Utah,2020-03-14,21
Kentucky,2020-03-15,21
Puerto Rico,2020-03-21,21
Missouri,2020-03-18,21
Northern Mariana Islands,2020-05-20,21
New Mexico,2020-03-16,21
Nevada,2020-03-14,21
Northern Mariana Islands,2020-05-16,21
Northern Mariana Islands,2020-05-17,21
Northern Mariana Islands,2020-05-18,21
Northern Mariana Islands,2020-05-19,21
South Dakota,2020-03-22,21
Iowa,2020-03-15,22
Iowa,2020-03-16,22
Kansas,2020-03-18,22
Wyoming,2020-03-20,22
Northern Mariana Islands,2020-05-29,22
Northern Mariana Islands,2020-05-27,22
Northern Mariana Islands,2020-05-30,22
Northern Mariana Islands,2020-05-28,22
Northern Mariana Islands,2020-05-26,22
Northern Mariana Islands,2020-05-31,22
Northern Mariana Islands,2020-05-24,22
Northern Mariana Islands,2020-05-23,22
Alaska,2020-03-22,22
Northern Mariana Islands,2020-05-22,22
Northern Mariana Islands,2020-05-21,22
Pennsylvania,2020-03-12,22
Georgia,2020-03-10,22
Northern Mariana Islands,2020-05-25,22
District of Columbia,2020-03-16,22
Northern Mariana Islands,2020-06-01,22
New York,2020-03-05,22
Arkansas,2020-03-17,22
Arkansas,2020-03-16,22
Kentucky,2020-03-16,22
Vermont,2020-03-19,22
New Jersey,2020-03-11,23
Nebraska,2020-03-11,23
Alabama,2020-03-15,23
Washington,2020-03-02,23
Rhode Island,2020-03-17,23
Texas,2020-03-08,23
Virgin Islands,2020-03-29,23
Idaho,2020-03-19,23
New Mexico,2020-03-17,23
Florida,2020-03-10,23
Northern Mariana Islands,2020-06-02,23
Puerto Rico,2020-03-22,23
Wyoming,2020-03-21,24
Texas,2020-03-09,24
Indiana,2020-03-16,24
Northern Mariana Islands,2020-06-03,24
Nebraska,2020-03-12,24
Illinois,2020-03-11,25
North Carolina,2020-03-14,25
Michigan,2020-03-13,25
Wyoming,2020-03-22,26
California,2020-02-27,26
Nevada,2020-03-15,26
California,2020-02-26,26
Delaware,2020-03-18,26
Connecticut,2020-03-15,26
Tennessee,2020-03-13,26
New Hampshire,2020-03-17,26
Northern Mariana Islands,2020-06-04,26
Florida,2020-03-11,26
Northern Mariana Islands,2020-06-06,26
Northern Mariana Islands,2020-06-05,26
Hawaii,2020-03-19,26
Ohio,2020-03-14,26
Kentucky,2020-03-17,26
Guam,2020-03-22,27
Nebraska,2020-03-13,27
Wisconsin,2020-03-14,27
Northern Mariana Islands,2020-06-07,27
North Dakota,2020-03-20,27
Maryland,2020-03-14,27
California,2020-02-28,27
Northern Mariana Islands,2020-06-08,28
South Carolina,2020-03-15,28
Arizona,2020-03-18,28
New Mexico,2020-03-18,28
Massachusetts,2020-03-08,28
California,2020-02-29,28
North Dakota,2020-03-21,28
Wyoming,2020-03-23,28
South Dakota,2020-03-23,28
Vermont,2020-03-20,29
Guam,2020-03-23,29
Nebraska,2020-03-14,29
Montana,2020-03-21,29
Oklahoma,2020-03-18,29
Iowa,2020-03-17,29
Alabama,2020-03-16,29
New Jersey,2020-03-12,29
Utah,2020-03-15,29
Northern Mariana Islands,2020-06-27,30
Northern Mariana Islands,2020-06-26,30
Northern Mariana Islands,2020-06-25,30
Northern Mariana Islands,2020-06-16,30
Northern Mariana Islands,2020-07-01,30
Northern Mariana Islands,2020-06-15,30
Northern Mariana Islands,2020-06-14,30
Northern Mariana Islands,2020-06-12,30
Northern Mariana Islands,2020-06-11,30
Northern Mariana Islands,2020-06-10,30
Northern Mariana Islands,2020-06-09,30
Northern Mariana Islands,2020-06-28,30
Northern Mariana Islands,2020-06-17,30
Northern Mariana Islands,2020-06-18,30
Northern Mariana Islands,2020-06-19,30
Northern Mariana Islands,2020-06-20,30
Northern Mariana Islands,2020-06-21,30
Northern Mariana Islands,2020-06-22,30
Northern Mariana Islands,2020-06-23,30
Northern Mariana Islands,2020-06-24,30
Oregon,2020-03-13,30
Oregon,2020-03-12,30
Northern Mariana Islands,2020-07-02,30
Delaware,2020-03-19,30
Northern Mariana Islands,2020-06-30,30
Northern Mariana Islands,2020-06-29,30
Northern Mariana Islands,2020-06-13,30
South Dakota,2020-03-24,30
Indiana,2020-03-17,30
Virgin Islands,2020-03-30,30
Virgin Islands,2020-03-31,30
Virgin Islands,2020-04-01,30
North Dakota,2020-03-22,30
Virginia,2020-03-13,30
Nebraska,2020-03-15,31
Georgia,2020-03-12,31
Northern Mariana Islands,2020-07-03,31
Northern Mariana Islands,2020-07-04,31
Northern Mariana Islands,2020-07-05,31
Northern Mariana Islands,2020-07-06,31
Northern Mariana Islands,2020-07-07,31
Idaho,2020-03-20,31
Texas,2020-03-10,31
Northern Mariana Islands,2020-07-08,31
Northern Mariana Islands,2020-07-09,31
Northern Mariana Islands,2020-07-10,31
District of Columbia,2020-03-17,31
Georgia,2020-03-11,31
Puerto Rico,2020-03-23,31
Guam,2020-03-25,32
Tennessee,2020-03-14,32
Guam,2020-03-24,32
Washington,2020-03-03,32
North Carolina,2020-03-15,32
Maine,2020-03-17,32
North Dakota,2020-03-23,32
Maryland,2020-03-15,32
Illinois,2020-03-12,32
Northern Mariana Islands,2020-07-13,33
Northern Mariana Islands,2020-07-12,33
Northern Mariana Islands,2020-07-11,33
Wisconsin,2020-03-15,33
Arkansas,2020-03-18,33
Texas,2020-03-11,33
Rhode Island,2020-03-18,33
Nebraska,2020-03-16,33
California,2020-03-01,33
South Carolina,2020-03-16,33
Michigan,2020-03-14,33
Colorado,2020-03-11,34
Montana,2020-03-22,34
North Carolina,2020-03-16,34
Mississippi,2020-03-18,34
Missouri,2020-03-19,35
New Mexico,2020-03-19,35
Minnesota,2020-03-15,35
Kentucky,2020-03-18,35
Kansas,2020-03-19,35
Northern Mariana Islands,2020-07-14,36
Alaska,2020-03-23,36
Nebraska,2020-03-17,36
Oregon,2020-03-14,36
Louisiana,2020-03-13,36
District of Columbia,2020-03-18,36
Northern Mariana Islands,2020-07-15,36
Northern Mariana Islands,2020-07-16,37
Hawaii,2020-03-20,37
Ohio,2020-03-15,37
North Dakota,2020-03-24,37
