,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,class_val
10,"0      0.300413
1      0.300413
2     -1.964993
3     -3.159662
4     -6.498703
        ...    
95     7.052093
96     9.021995
97     3.552242
98    -6.654377
99   -13.677135
Length: 100, dtype: float64","0      0.727580
1      0.727580
2     -0.300555
3     -2.094925
4     -2.887628
        ...    
95    11.111779
96     3.405194
97   -12.276318
98    -8.576643
99    -6.305249
Length: 100, dtype: float64","0     0.878731
1     0.878731
2    -1.226914
3     2.170437
4     1.977581
        ...   
95   -3.803361
96   -2.317320
97   -4.569549
98   -3.473584
99   -0.517220
Length: 100, dtype: float64","0    -0.082565
1    -0.082565
2    -0.631219
3    -0.745744
4    -0.199753
        ...   
95   -0.170456
96    0.471417
97   -2.378392
98   -2.849809
99   -2.916393
Length: 100, dtype: float64","0    -0.055931
1    -0.055931
2     0.039951
3    -0.055931
4     0.127842
        ...   
95    0.090555
96    1.368974
97    3.156097
98    2.897749
99    3.038908
Length: 100, dtype: float64","0     0.668507
1     0.668507
2     0.130505
3    -0.034624
4     0.300961
        ...   
95    0.759061
96   -4.445169
97   -4.778091
98   -2.897749
99   -0.234377
Length: 100, dtype: float64",running
11,"0      1.916536
1      1.916536
2     -4.506995
3      7.477389
4     15.911235
        ...    
95    12.796130
96     9.235642
97    13.419512
98    13.419512
99   -10.327865
Length: 100, dtype: float64","0     -0.465923
1     -0.465923
2     -6.691695
3    -10.995518
4     -7.805502
        ...    
95    -2.332604
96    10.737961
97    -2.331311
98    -2.331311
99   -10.408194
Length: 100, dtype: float64","0    -0.374403
1    -0.374403
2    -1.330023
3    -3.230503
4    -3.833633
        ...   
95   -4.828838
96   -3.584698
97   -0.238991
98   -0.238991
99    1.924294
Length: 100, dtype: float64","0     0.125179
1     0.125179
2     0.708457
3     2.972324
4     3.803296
        ...   
95    0.018644
96    0.306288
97   -0.617902
98   -0.617902
99   -2.503570
Length: 100, dtype: float64","0    -0.034624
1    -0.034624
2    -0.055931
3    -1.965569
4    -0.980121
        ...   
95   -0.332922
96   -0.697804
97    0.255684
98    0.255684
99    0.261010
Length: 100, dtype: float64","0    -0.229050
1    -0.229050
2     2.104064
3     5.177596
4     7.372215
        ...   
95    6.317520
96    1.667271
97   -6.330837
98   -6.330837
99   -2.189292
Length: 100, dtype: float64",running
12,"0      2.221946
1      2.221946
2     -7.704172
3    -10.204578
4      2.699480
        ...    
95   -12.811468
96    -6.263309
97     8.318001
98     9.266587
99     7.245494
Length: 100, dtype: float64","0     -0.783638
1     -0.783638
2     -4.569924
3     -7.286369
4    -11.371817
        ...    
95    -6.135539
96    -3.015144
97    -9.993502
98     1.553208
99     8.805635
Length: 100, dtype: float64","0     0.142401
1     0.142401
2     2.447367
3    -0.526095
4    -3.895602
        ...   
95   -0.729235
96   -2.170100
97   -3.156351
98   -3.758828
99   -4.066924
Length: 100, dtype: float64","0     0.055931
1     0.055931
2    -0.442120
3     0.221060
4     2.961670
        ...   
95   -0.849616
96    0.756398
97    2.735284
98    0.093218
99   -0.045277
Length: 100, dtype: float64","0     0.071911
1     0.071911
2     0.010653
3    -0.141159
4    -0.969468
        ...   
95   -0.356892
96   -1.909638
97   -2.383719
98   -0.881576
99   -0.002663
Length: 100, dtype: float64","0     0.226387
1     0.226387
2    -1.978886
3     0.181109
4     4.186821
        ...   
95    0.604586
96    3.489018
97    5.926004
98    3.960435
99   -0.162466
Length: 100, dtype: float64",running
13,"0      1.463566
1      1.463566
2      6.169349
3     12.296801
4     11.157435
        ...    
95    11.115237
96    10.871691
97    15.845107
98   -12.584620
99   -13.454231
Length: 100, dtype: float64","0      1.782945
1      1.782945
2      8.098975
3      0.205007
4     -6.774211
        ...    
95    14.871746
96    13.460014
97   -10.625976
98   -14.784469
99    -9.446130
Length: 100, dtype: float64","0    -0.817491
1    -0.817491
2    -5.628303
3    -1.648510
4    -5.807180
        ...   
95   -2.275496
96   -1.530095
97   -3.878074
98   -1.550934
99    3.256126
Length: 100, dtype: float64","0     0.082565
1     0.082565
2    -2.671363
3    -3.390473
4    -4.602308
        ...   
95    0.814992
96   -0.210406
97   -3.441077
98   -0.250357
99    0.229050
Length: 100, dtype: float64","0     0.159802
1     0.159802
2     0.282318
3     3.235998
4     4.652912
        ...   
95   -0.775041
96    1.595360
97    3.944455
98   -0.724437
99   -1.262439
Length: 100, dtype: float64","0     0.095881
1     0.095881
2    -1.502142
3    -2.567491
4    -3.949781
        ...   
95    1.608677
96   -2.719303
97   -7.798355
98   -2.287837
99    1.526112
Length: 100, dtype: float64",running
14,"0      1.186069
1      1.186069
2      0.025475
3     -2.577381
4     -6.588059
        ...    
95     7.833264
96    -6.406500
97   -14.138376
98    -7.391796
99    15.626068
Length: 100, dtype: float64","0      0.013225
1      0.013225
2      1.926289
3     -4.003676
4     -6.491396
        ...    
95   -13.177158
96   -16.541258
97    -7.481679
98   -12.298756
99   -10.701664
Length: 100, dtype: float64","0    -0.377872
1    -0.377872
2    -1.253871
3     1.080195
4     0.128614
        ...   
95    0.058207
96    2.297507
97    3.088278
98   -1.373897
99   -1.489454
Length: 100, dtype: float64","0     0.367545
1     0.367545
2     0.221060
3    -1.179874
4    -0.532675
        ...   
95    0.135832
96    0.149149
97   -0.535338
98   -0.162466
99    3.235998
Length: 100, dtype: float64","0    -0.253020
1    -0.253020
2    -0.500714
3    -0.002663
4     0.197090
        ...   
95    2.594125
96   -0.545991
97   -0.436793
98   -0.753734
99   -1.406261
Length: 100, dtype: float64","0     0.114525
1     0.114525
2    -0.173119
3    -0.311615
4     1.297062
        ...   
95   -7.345582
96   -3.531632
97    1.182537
98    3.275948
99    7.547998
Length: 100, dtype: float64",running
15,"0    -0.359319
1    -0.359319
2     4.011746
3     3.969688
4     3.969688
        ...   
95    9.113968
96    9.113968
97    9.639398
98    9.110810
99   -3.754989
Length: 100, dtype: float64","0      0.152819
1      0.152819
2      1.048811
3     -1.928682
4     -1.928682
        ...    
95    11.587113
96    11.587113
97     8.134124
98   -12.331043
99   -16.276659
Length: 100, dtype: float64","0    -0.064578
1    -0.064578
2    -1.804903
3     1.817027
4     1.817027
        ...   
95   -1.393714
96   -1.393714
97   -0.697245
98   -1.462568
99   -0.515310
Length: 100, dtype: float64","0     0.039951
1     0.039951
2    -1.347667
3    -0.066584
4    -0.066584
        ...   
95   -0.822982
96   -0.822982
97   -0.993438
98   -2.386382
99   -0.876250
Length: 100, dtype: float64","0    -0.042614
1    -0.042614
2     0.572625
3    -0.402169
4    -0.402169
        ...   
95   -0.239704
96   -0.239704
97    1.259775
98    3.654147
99   -0.402169
Length: 100, dtype: float64","0     0.125179
1     0.125179
2    -1.861697
3    -2.207936
4    -2.207936
        ...   
95   -0.615239
96   -0.615239
97   -4.266723
98   -7.609255
99   -5.103022
Length: 100, dtype: float64",running
16,"0      1.370472
1      1.370472
2      8.988115
3      9.961660
4     14.369909
        ...    
95     4.900373
96    -5.732792
97    -9.882447
98    -4.430266
99    13.514693
Length: 100, dtype: float64","0     -1.054298
1     -1.054298
2      7.717017
3      7.924464
4     -5.946633
        ...    
95   -11.081743
96   -14.014988
97    -9.075571
98   -11.316754
99    -8.187421
Length: 100, dtype: float64","0    -0.451409
1    -0.451409
2    -6.073897
3    -3.372283
4     1.696946
        ...   
95    1.099837
96    2.613123
97    2.681814
98    0.957392
99   -6.668823
Length: 100, dtype: float64","0    -0.306288
1    -0.306288
2     0.458100
3    -1.859034
4    -1.195854
        ...   
95   -0.833636
96   -2.452966
97   -0.783032
98    2.074767
99    2.234570
Length: 100, dtype: float64","0    -0.423476
1    -0.423476
2     0.761725
3     0.247694
4     2.295827
        ...   
95    0.442120
96    0.838962
97    0.055931
98   -0.852279
99   -0.988111
Length: 100, dtype: float64","0     0.292971
1     0.292971
2     2.159995
3    -2.498244
4    -5.124329
        ...   
95   -5.803489
96   -3.102829
97    1.009418
98    3.875207
99    6.557223
Length: 100, dtype: float64",running
17,"0      0.324449
1      0.324449
2      9.294422
3      8.241495
4      7.692080
        ...    
95    13.885904
96    20.153603
97    11.827358
98     0.252433
99   -16.979010
Length: 100, dtype: float64","0     -0.977516
1     -0.977516
2     -6.963223
3      4.174181
4      7.438757
        ...    
95    16.354300
96     8.161517
97   -13.698463
98   -18.165749
99   -10.390357
Length: 100, dtype: float64","0    -1.260218
1    -1.260218
2    -2.498493
3    -5.045250
4    -5.781352
        ...   
95   -5.527739
96   -4.600859
97   -0.547638
98    2.404931
99    3.354876
Length: 100, dtype: float64","0    -0.788358
1    -0.788358
2     2.434323
3     2.024163
4    -0.623229
        ...   
95   -1.443548
96   -2.468947
97    0.098545
98   -2.442313
99   -0.404833
Length: 100, dtype: float64","0     0.316941
1     0.316941
2    -0.079901
3     0.322268
4     0.466090
        ...   
95   -1.257112
96    0.093218
97    1.941599
98   -0.002663
99   -0.687150
Length: 100, dtype: float64","0     0.588605
1     0.588605
2     6.535916
3     4.636931
4     1.118617
        ...   
95   -0.873586
96   -7.244373
97   -8.133940
98   -4.716833
99    0.415486
Length: 100, dtype: float64",running
18,"0      0.951708
1      0.951708
2      6.227476
3      3.055575
4      3.055575
        ...    
95    14.979664
96    -5.634761
97   -16.496962
98   -16.496962
99   -12.872236
Length: 100, dtype: float64","0     -1.304853
1     -1.304853
2     -1.222450
3     -6.194563
4     -6.194563
        ...    
95   -11.008355
96   -16.784014
97   -10.858133
98   -10.858133
99    -8.110650
Length: 100, dtype: float64","0    -0.944935
1    -0.944935
2     0.682350
3     3.135348
4     3.135348
        ...   
95   -3.831738
96   -6.007497
97   -2.743873
98   -2.743873
99   -1.684402
Length: 100, dtype: float64","0    -0.386189
1    -0.386189
2    -0.346238
3     0.506041
4     0.506041
        ...   
95   -1.462192
96   -1.587370
97   -0.370209
98   -0.370209
99    1.422241
Length: 100, dtype: float64","0     0.308951
1     0.308951
2     0.298298
3    -0.130505
4    -0.130505
        ...   
95    4.375921
96    2.508897
97    0.015980
98    0.015980
99   -2.157332
Length: 100, dtype: float64","0     0.098545
1     0.098545
2    -1.408924
3    -2.868452
4    -2.868452
        ...   
95   -7.417492
96   -5.289458
97   -1.805767
98   -1.805767
99    2.596788
Length: 100, dtype: float64",running
19,"0      2.508158
1      2.508158
2      2.121694
3      0.212363
4     -2.896465
        ...    
95    10.717827
96     8.744416
97    13.967677
98    11.156843
99     0.069358
Length: 100, dtype: float64","0     -0.745654
1     -0.745654
2      1.754981
3      0.050256
4     -3.884919
        ...    
95     4.642765
96    13.771559
97     6.952250
98   -12.034172
99   -15.368336
Length: 100, dtype: float64","0     1.549042
1     1.549042
2    -2.057386
3    -1.280972
4     0.599143
        ...   
95   -6.335711
96   -2.065510
97   -1.304951
98   -2.310304
99   -0.587644
Length: 100, dtype: float64","0     0.380862
1     0.380862
2    -1.097310
3    -0.295634
4    -1.379627
        ...   
95    0.799012
96    0.657853
97   -2.897749
98   -0.703130
99   -1.989539
Length: 100, dtype: float64","0    -0.436793
1    -0.436793
2     0.644536
3     0.167792
4     0.463427
        ...   
95   -1.318369
96   -0.255684
97    1.917628
98    3.193384
99    1.427568
Length: 100, dtype: float64","0     0.591269
1     0.591269
2    -0.961478
3    -1.371637
4    -1.403597
        ...   
95    5.593082
96    0.143822
97   -5.071061
98   -6.509283
99   -4.525070
Length: 100, dtype: float64",running
20,"0    -0.071819
1    -0.071819
2    -0.360728
3     0.084804
4     0.330120
        ...   
95    0.644735
96    1.251466
97    1.251466
98    0.991489
99    0.413049
Length: 100, dtype: float64","0     0.354963
1     0.354963
2    -2.704719
3    -3.349246
4    -1.123242
        ...   
95   -0.509034
96    2.776207
97    2.776207
98    3.895162
99    3.532764
Length: 100, dtype: float64","0     0.275074
1     0.275074
2     0.892838
3     0.010835
4     0.020116
        ...   
95   -1.671019
96   -0.186459
97   -0.186459
98    0.530786
99    0.447459
Length: 100, dtype: float64","0    -1.033389
1    -1.033389
2     0.066584
3     0.599259
4     0.663180
        ...   
95    0.210406
96    0.870923
97    0.870923
98    1.600687
99   -0.170456
Length: 100, dtype: float64","0     0.743081
1     0.743081
2    -0.271664
3    -0.199753
4    -0.279654
        ...   
95   -0.948161
96   -1.598024
97   -1.598024
98   -0.788358
99    0.042614
Length: 100, dtype: float64","0    -0.825646
1    -0.825646
2     0.122515
3     0.556645
4     1.161230
        ...   
95    1.717875
96    1.587370
97    1.587370
98    0.532675
99   -0.348902
Length: 100, dtype: float64",walking
21,"0     0.648833
1     0.648833
2     0.076985
3    -0.295492
4    -0.592993
        ...   
95    0.003306
96    0.463057
97    0.969757
98    0.191909
99    0.805618
Length: 100, dtype: float64","0    -0.996722
1    -0.996722
2    -0.897264
3    -1.136712
4    -0.673471
        ...   
95    2.094180
96    1.440038
97    0.355625
98   -0.758496
99   -0.750379
Length: 100, dtype: float64","0    -0.644136
1    -0.644136
2     0.970515
3    -0.164896
4     0.252778
        ...   
95   -0.673790
96   -0.239165
97   -0.611993
98   -1.141962
99   -0.478014
Length: 100, dtype: float64","0    -0.101208
1    -0.101208
2    -0.407496
3    -0.412823
4    -0.135832
        ...   
95   -0.330258
96   -0.450110
97   -0.942834
98   -1.060022
99   -0.476744
Length: 100, dtype: float64","0     0.055931
1     0.055931
2    -0.157139
3     0.087891
4     0.037287
        ...   
95    0.077238
96    0.170456
97    0.484734
98    0.628556
99    0.242367
Length: 100, dtype: float64","0    -0.031960
1    -0.031960
2    -0.343575
3    -0.308951
4    -0.090555
        ...   
95   -0.399506
96   -0.820319
97   -1.121280
98   -1.318369
99   -1.310379
Length: 100, dtype: float64",walking
22,"0    -0.697643
1    -0.697643
2    -0.199924
3    -0.424592
4    -0.277881
        ...   
95    1.475275
96   -0.689696
97   -0.436090
98    0.520123
99    0.426016
Length: 100, dtype: float64","0    -0.561693
1    -0.561693
2    -0.820724
3    -1.014510
4    -2.683653
        ...   
95    4.914747
96    4.033065
97    3.227962
98   -0.173106
99   -2.884886
Length: 100, dtype: float64","0    -0.950458
1    -0.950458
2     1.146612
3     2.215659
4     0.346236
        ...   
95    0.859659
96    0.109259
97   -0.131619
98    2.063172
99    2.812500
Length: 100, dtype: float64","0    -1.158567
1    -1.158567
2    -0.479407
3    -0.149149
4    -0.002663
        ...   
95    0.695140
96    0.271664
97    1.821747
98    1.073339
99    0.615239
Length: 100, dtype: float64","0     0.727101
1     0.727101
2    -0.410159
3    -0.282318
4    -0.300961
        ...   
95    0.218397
96    0.284981
97   -0.274327
98   -0.838962
99   -0.199753
Length: 100, dtype: float64","0    -1.376964
1    -1.376964
2     0.130505
3     0.189099
4     0.471417
        ...   
95    0.548655
96   -0.191763
97   -1.142587
98   -1.781796
99   -1.259775
Length: 100, dtype: float64",walking
23,"0    -0.647511
1    -0.647511
2    -0.156391
3    -0.821278
4     0.155385
        ...   
95    2.955047
96    1.763218
97    2.393665
98    0.507058
99   -0.208094
Length: 100, dtype: float64","0    -0.111979
1    -0.111979
2    -0.159968
3    -2.562588
4    -2.037382
        ...   
95   -0.312267
96    1.940304
97    3.873044
98    4.878553
99    4.009547
Length: 100, dtype: float64","0    -0.739682
1    -0.739682
2     0.441646
3     0.269299
4    -0.658101
        ...   
95   -1.101002
96   -0.864320
97   -0.650505
98   -0.027739
99    0.090067
Length: 100, dtype: float64","0     0.202416
1     0.202416
2    -0.615239
3     0.122515
4     0.319605
        ...   
95    0.897557
96    0.700467
97    0.932180
98    0.037287
99    0.005327
Length: 100, dtype: float64","0     0.165129
1     0.165129
2     0.007990
3    -0.173119
4    -0.332922
        ...   
95   -0.828309
96   -0.921527
97   -0.711121
98   -0.282318
99    0.000000
Length: 100, dtype: float64","0     0.074574
1     0.074574
2     0.127842
3     0.407496
4     0.793685
        ...   
95    1.877678
96    1.938935
97    1.603350
98    0.676497
99   -0.343575
Length: 100, dtype: float64",walking
